date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:16:00	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2018%20Jan%202023%2020:16:43%20GMT	https://nataliafaria.arq.br/lar-renovado-mayre	G:/Meu%20Drive/SITES/nataliafaria/public_html/teste/lar-renovado-mayre	(from https://nataliafaria.arq.br/)
17:16:00	184811/184811	---M--	200	added ('OK')	image/png	etag:%22cba2e0f79302855f%22	../wp-content/uploads/2019/02/Primeiro-lar-Tiago-e-Flavia-Sala.png?w=1080&ssl=1	G:/Meu%20Drive/SITES/nataliafaria/public_html/teste/nataliafaria.arq.br/wp-content/uploads/2019/02/Primeiro-lar-Tiago-e-Flavia-Sala.png	(from https://nataliafaria.arq.br/)
17:16:02	251485/251485	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20Jan%202023%2020:16:45%20GMT	https://nataliafaria.arq.br/lar-renovado-mayre/	G:/Meu%20Drive/SITES/nataliafaria/public_html/teste/lar-renovado-mayre/index.html	(from https://nataliafaria.arq.br/)
17:16:02	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2018%20Jan%202023%2020:16:45%20GMT	https://nataliafaria.arq.br/primeiro-lar-thiago-e-flavia	G:/Meu%20Drive/SITES/nataliafaria/public_html/teste/primeiro-lar-thiago-e-flavia	(from https://nataliafaria.arq.br/)
17:16:03	516448/516448	---M--	200	added ('OK')	image/png	etag:%227147526549eccd7e%22	../wp-content/uploads/2019/02/Quarto-Tiago-e-Flavia.png?w=1080&ssl=1	G:/Meu%20Drive/SITES/nataliafaria/public_html/teste/nataliafaria.arq.br/wp-content/uploads/2019/02/Quarto-Tiago-e-Flavia.png	(from https://nataliafaria.arq.br/)
17:16:03	415641/415641	---M--	200	added ('OK')	image/png	etag:%220debd2954442b0b5%22	../wp-content/uploads/2019/02/Sala-Thiago-Erika-e-Antonia.png?w=1080&ssl=1	G:/Meu%20Drive/SITES/nataliafaria/public_html/teste/nataliafaria.arq.br/wp-content/uploads/2019/02/Sala-Thiago-Erika-e-Antonia.png	(from https://nataliafaria.arq.br/)
17:16:03	453548/453548	---M--	200	added ('OK')	image/png	etag:%2293b7aadb0dd9d411%22	../wp-content/uploads/2019/02/Quarto-Selena.png?resize=1080%2C1080&ssl=1	G:/Meu%20Drive/SITES/nataliafaria/public_html/teste/nataliafaria.arq.br/wp-content/uploads/2019/02/Quarto-Selena.png	(from https://nataliafaria.arq.br/)
17:16:03	4697/4697	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20Jan%202023%2020:16:47%20GMT	https://nataliafaria.arq.br/cdn-cgi/l/email-protection	G:/Meu%20Drive/SITES/nataliafaria/public_html/teste/cdn-cgi/l/email-protection.html	(from https://nataliafaria.arq.br/)
17:16:04	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263c1ea70-4d7%22	https://nataliafaria.arq.br/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	G:/Meu%20Drive/SITES/nataliafaria/public_html/teste/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://nataliafaria.arq.br/)
17:16:04	232214/232214	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20Jan%202023%2020:16:47%20GMT	https://nataliafaria.arq.br/primeiro-lar-thiago-e-flavia/	G:/Meu%20Drive/SITES/nataliafaria/public_html/teste/primeiro-lar-thiago-e-flavia/index.html	(from https://nataliafaria.arq.br/)
